year,month,url
2019,2,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2019-02.csv
2019,1,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2019-01.csv
2018,12,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-12.csv
2018,11,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-11.csv
2018,10,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-10.csv
2018,9,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-09.csv
2018,8,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-08.csv
2018,7,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-07.csv
2018,6,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-06.csv
2018,5,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-05.csv
2018,4,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-04.csv
2018,3,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-03.csv
2018,2,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-02.csv
2018,1,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2018-01.csv
2017,12,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-12.csv
2017,11,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-11.csv
2017,10,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-10.csv
2017,9,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-09.csv
2017,8,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-08.csv
2017,7,https://datos.cdmx.gob.mx/wp-content/uploads/2022/09/2017-07.csv
2017,6,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-06.csv
2017,5,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-05.csv
2017,4,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-04.csv
2017,3,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-03.csv
2017,2,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-02.csv
